6/24（六）北卡草根論壇--從g0v到gov的開放政府之路, , 北卡草根論壇, 2017-06-24
5/26（五）北卡草根論壇 - 潮流發電在台灣的發展性, , 北卡草根論壇, 2017-05-26
4/8（六）北卡草根論壇 - 紀錄片 If a Tree Falls, , 北卡草根論壇, 2017-04-08
1/27（五）除夕央視春晚返校potluck趴, , 北卡草根論壇, 2017-01-27
12/9（五）北卡草根論壇：冰與火之歌 深談同婚運動過去、現在與未來, 講者】, 北卡草根論壇, 2016-12-09
11/19（六）北卡草根論壇--70%沖繩25%日本5%台灣, 講者：謝竹雯, 北卡草根論壇, 2016-11-19
10/15(六) 北卡草根論壇--太陽花季之後, 講者介紹：, 北卡草根論壇, 2016-10-15
9/3（六）北卡草根論壇迎新--太陽的孩子, , 北卡草根論壇, 2016-09-03
7/29（五）北卡草根論壇--搞什麼非基？, , 北卡草根論壇, 2016-07-29
草根論壇Virginia兩天一夜遊～！, , 北卡草根論壇, 2016-06-18
6/12（日）北卡草根論壇--蘋果的滋味, , 北卡草根論壇, 2016-06-12
5/7北卡草根論壇-餐桌上的奢華-歐洲瓷器300年, , 北卡草根論壇, 2016-05-07
4/1北卡草根論壇--亞洲現代性下的青春, 講者：Hsinju Yan, 北卡草根論壇, 2016-04-01
2/26北卡草根論壇--轉型正義了嗎？, , 北卡草根論壇, 2016-02-26
1/15北卡草根論壇--金融市場的不理性繁榮, 講者是專業的杜客大學經濟所碩二的王鏡荃（等楞！），希望能讓大家稍稍了解那些總是有看沒有懂的金融市場，以及衍生的諸多問題～, 北卡草根論壇, 2016-01-15
1/7（四）Kawlo Iyunn Pacidal 海外視訊會在澗庚家！, , 北卡草根論壇, 2016-01-07
11/1（日）北卡草根論壇 -- 台灣的國家認同討論會, , 北卡草根論壇, 2015-11-01
9/25（五）北卡草根論壇 -- 牽阮的手, , 北卡草根論壇, 2015-09-25
8/30迎新--北卡草根論壇, , 北卡草根論壇, 2015-08-30
7/31 中一中許全義老師、台權會許仁碩主任線上對談, , 北卡草根論壇, 2015-07-31
北卡草根論壇 7/17（五）--瓷器中的華夏史, 講者：Paul Ning（絕對專業！, 北卡草根論壇, 2015-07-17
6/19 北卡草根論壇, , 北卡草根論壇, 2015-06-19
北卡草根論壇 4/19（日）-- 亂中求生-中國社會抗爭潮中的台商與台灣, , 北卡草根論壇, 2015-04-19
3/27 北卡草根論壇 g0v零時政府, 講者】邱澗庚（該換人了, 北卡草根論壇, 2015-03-27
北卡草根論壇 2/20（五）-- 台灣社會運動的法律動員, , 北卡草根論壇, 2015-02-20
2/7（六）KANO北卡首映 -- 魏德聖來了！, , 北卡草根論壇, 2015-02-07
北卡草根論壇 1/18（日）--強制搬遷與土地正義, , 北卡草根論壇, 2015-01-18
北卡草根論壇 11/28（五）--選前之夜火鍋趴！, , 北卡草根論壇, 2014-11-28
北卡草根論壇開幕專題：迷因, , 北卡草根論壇, 2014-10-24
