2017 iTaiwan “春暖花開 大雞慢啼” 春酒, , 西雅圖iTaiwan, 2017-03-04
『西雅圖動員Seattle』支持台灣修正民法，力挺婚姻平權！Support Taiwan's Marriage Equality, , 西雅圖iTaiwan, 2016-12-10
台灣婚姻平權海外座談會, , 西雅圖iTaiwan, 2016-12-04
Hohaiyan！喔海洋！舒米恩的美式生活, , 西雅圖iTaiwan, 2016-11-11
52Hz, I Love You 北美巡迴西雅圖放映 Seattle Screening, , 西雅圖iTaiwan, 2016-11-06
UW iTaiwan 社員大會＆求職經驗分享講座, , 西雅圖iTaiwan, 2016-10-10
2016 iTaiwan 思想小沙龍, , 西雅圖iTaiwan, 2016-09-23
UW iTaiwan 迎新烤肉, , 西雅圖iTaiwan, 2016-09-18
UW iTaiwan 迎新中秋茶會, , 西雅圖iTaiwan, 2016-09-17
2016 UW iTaiwan GSPA Summer Meetup at Taipei, , 西雅圖iTaiwan, 2016-07-10
ITaiwan華大研究生社團 2016夏季烤肉＆送舊大會, , 西雅圖iTaiwan, 2016-06-10
ITaiwan 年度會員大會＆燒呼呼燒肉粽, , 西雅圖iTaiwan, 2016-05-27
太陽的孩子電影座談會：原住民文化復振的困境與展望, , 西雅圖iTaiwan, 2016-05-06
團購力量大 拿帽子鬍子 一起替王建民加油～, , 西雅圖iTaiwan, 2016-04-29
（延期）ITaiwan會員大會, , 西雅圖iTaiwan, 2016-04-13
☼ Movie Screening: Wawa No Cidal ☼ 電影《太陽的孩子》, , 西雅圖iTaiwan, 2016-04-03
愛台灣2016元宵春酒, , 西雅圖iTaiwan, 2016-02-20
從西雅圖看2016總統立委選舉：未來台灣民主的走向, , 西雅圖iTaiwan, 2016-02-12
五彩繽紛的台灣：多元文化視角下的台灣社會暨 iTaiwan 2015學年度首次社員大會, , 西雅圖iTaiwan, 2015-10-09
五彩繽紛的台灣：多元文化視角下的台灣社會暨 iTaiwan 2015學年度首次社員大會, , 西雅圖iTaiwan, 2015-10-09
Support the Anti-Curriculum Distortion Activity北美反課綱微調: 西雅圖聲援行動, , 西雅圖iTaiwan, 2015-08-01
反黑箱課綱北美線上座談會, , 西雅圖iTaiwan, 2015-07-31
來烤肉就對了啦！, , 西雅圖iTaiwan, 2015-06-19
<土地，記憶>  原住民族為土地而戰，從土地、記憶與文化談起, , 西雅圖iTaiwan, 2015-06-06
<牽阮的手> 西雅圖電影放映會 Hand in Hand Movie Screening in Seattle, , 西雅圖iTaiwan, 2015-05-22
春季Doodlebug漆彈活動, , 西雅圖iTaiwan, 2015-04-11
UW喜羊羊 IT新年大團圓, , 西雅圖iTaiwan, 2015-02-21
ITaiwan 講座暨社員大會, , 西雅圖iTaiwan, 2015-02-06
寒冬小肥羊火鍋吃到飽, , 西雅圖iTaiwan, 2014-11-21
11月14日 How to start a revolution (非暴力抗爭)電影播放與會後座談, , 西雅圖iTaiwan, 2014-11-14
KANO Film Screening and Q&A @ Seattle, , 西雅圖iTaiwan, 2014-10-26
IT社 秋季健行活動, , 西雅圖iTaiwan, 2014-10-18
iTaiwan Autumn 2014 社員大會, , 西雅圖iTaiwan, 2014-09-26
UW Taiwanese Graduate Students and Professionals Welcome Party, , 西雅圖iTaiwan, 2014-09-20
